"timestamp_utc","soak_window","target_vus","actual_vus_live","actual_vus_live_source","role","pid","process_available","cpu_percent_total_machine","working_set_mb","private_memory_mb","thread_count"
"2026-08-17T17:29:27.1715743Z","early_steady","12","12","k6_progress","k6","10312","True","0.065","43.367","69.859","15"
"2026-08-17T17:29:29.1753549Z","early_steady","12","12","k6_progress","backend","28188","True","0.065","58.258","66.699","14"
"2026-08-17T17:29:29.1753549Z","early_steady","12","12","k6_progress","k6","10312","True","0.13","43.371","69.859","15"
"2026-08-17T17:29:31.1923730Z","early_steady","12","12","k6_progress","backend","28188","True","0.323","58.664","67.117","14"
"2026-08-17T17:29:31.1923730Z","early_steady","12","12","k6_progress","k6","10312","True","0.194","43.387","69.859","15"
"2026-08-17T17:29:33.2079489Z","early_steady","12","12","k6_progress","backend","28188","True","0.194","58.402","65.469","14"
"2026-08-17T17:29:33.2079489Z","early_steady","12","12","k6_progress","k6","10312","True","0.129","43.387","69.859","15"
"2026-08-17T17:29:35.2184324Z","early_steady","12","12","k6_progress","backend","28188","True","0.065","58.602","65.793","14"
"2026-08-17T17:29:35.2184324Z","early_steady","12","12","k6_progress","k6","10312","True","0.065","43.391","69.859","15"
"2026-08-17T17:29:37.2308096Z","early_steady","12","12","k6_progress","backend","28188","True","0.065","58.602","65.793","14"
"2026-08-17T17:29:37.2308096Z","early_steady","12","12","k6_progress","k6","10312","True","0.065","43.391","69.859","15"
"2026-08-17T17:29:39.2445679Z","early_steady","12","12","k6_progress","backend","28188","True","0","58.602","65.793","14"
"2026-08-17T17:29:39.2445679Z","early_steady","12","12","k6_progress","k6","10312","True","0","43.398","69.859","15"
"2026-08-17T17:29:41.2519440Z","early_steady","12","12","k6_progress","backend","28188","True","0.065","58.602","65.793","14"
"2026-08-17T17:29:41.2519440Z","early_steady","12","12","k6_progress","k6","10312","True","0.065","43.398","69.859","15"
"2026-08-17T17:29:43.2684072Z","early_steady","12","12","k6_progress","backend","28188","True","0.194","58.57","65.793","14"
"2026-08-17T17:29:43.2684072Z","early_steady","12","12","k6_progress","k6","10312","True","0","43.406","69.859","15"
"2026-08-17T17:29:45.2799839Z","early_steady","12","12","k6_progress","backend","28188","True","0.388","58.543","65.918","14"
"2026-08-17T17:29:45.2799839Z","early_steady","12","12","k6_progress","k6","10312","True","0","43.406","69.859","15"
"2026-08-17T17:29:47.2956768Z","early_steady","12","12","k6_progress","backend","28188","True","0.129","58.543","65.918","14"
"2026-08-17T17:29:47.2956768Z","early_steady","12","12","k6_progress","k6","10312","True","0.194","43.406","69.859","15"
"2026-08-17T17:29:49.3096361Z","early_steady","12","12","k6_progress","backend","28188","True","0.194","58.543","65.918","14"
"2026-08-17T17:29:49.3096361Z","early_steady","12","12","k6_progress","k6","10312","True","0","43.406","69.859","15"
"2026-08-17T17:29:51.3100858Z","early_steady","12","12","k6_progress","backend","28188","True","0.065","58.426","65.465","14"
"2026-08-17T17:29:51.3100858Z","early_steady","12","12","k6_progress","k6","10312","True","0.26","43.539","70.02","15"
"2026-08-17T17:29:53.3172351Z","early_steady","12","12","k6_progress","backend","28188","True","0","58.512","65.559","14"
"2026-08-17T17:29:53.3172351Z","early_steady","12","12","k6_progress","k6","10312","True","0","43.906","70.496","15"
"2026-08-17T17:29:55.3372370Z","early_steady","12","12","k6_progress","backend","28188","True","0.129","58.512","65.559","14"
"2026-08-17T17:29:55.3372370Z","early_steady","12","12","k6_progress","k6","10312","True","0","44.148","70.855","15"
