"timestamp_utc","phase","role","pid","cpu_percent_total_machine","working_set_mb","private_memory_mb","thread_count"
"2026-08-17T04:29:22.9215179Z","steady_4vu","backend","10924","0.127","54.211","63.672","14"
"2026-08-17T04:29:22.9215179Z","steady_4vu","k6","24636","0.063","35.504","62.516","15"
"2026-08-17T04:29:24.9699586Z","steady_4vu","backend","10924","0","53.836","63.469","14"
"2026-08-17T04:29:24.9699586Z","steady_4vu","k6","24636","0","35.504","62.516","15"
"2026-08-17T04:29:27.0081955Z","steady_4vu","backend","10924","0.256","54.008","63.754","14"
"2026-08-17T04:29:27.0081955Z","steady_4vu","k6","24636","0.192","35.504","62.516","15"
"2026-08-17T04:29:29.0770668Z","steady_4vu","backend","10924","0.063","54.016","63.754","14"
"2026-08-17T04:29:29.0770668Z","steady_4vu","k6","24636","0.252","35.504","62.516","15"
"2026-08-17T04:29:31.1515626Z","steady_4vu","backend","10924","0.126","54.023","63.754","14"
"2026-08-17T04:29:31.1515626Z","steady_4vu","k6","24636","0.126","35.504","62.516","15"
"2026-08-17T04:29:33.1987983Z","steady_4vu","backend","10924","0.254","54.391","63.875","14"
"2026-08-17T04:29:33.1987983Z","steady_4vu","k6","24636","0.127","35.504","62.516","15"
"2026-08-17T04:29:35.2370600Z","steady_4vu","backend","10924","0.192","54.418","63.875","14"
"2026-08-17T04:29:35.2370600Z","steady_4vu","k6","24636","0.319","35.508","62.516","15"
"2026-08-17T04:29:37.2872364Z","steady_4vu","backend","10924","0.127","54.383","63.809","12"
"2026-08-17T04:29:37.2872364Z","steady_4vu","k6","24636","0.191","35.602","62.609","15"
"2026-08-17T04:29:39.3453571Z","steady_4vu","backend","10924","0.063","54.383","63.809","12"
"2026-08-17T04:29:39.3453571Z","steady_4vu","k6","24636","0.19","35.68","62.688","15"
"2026-08-17T04:29:41.4015339Z","steady_4vu","backend","10924","0.19","54.383","63.809","12"
"2026-08-17T04:29:41.4015339Z","steady_4vu","k6","24636","0","35.68","62.688","15"
"2026-08-17T04:29:43.4484113Z","steady_4vu","backend","10924","0","54.43","63.809","12"
"2026-08-17T04:29:43.4484113Z","steady_4vu","k6","24636","0.064","35.688","62.695","15"
"2026-08-17T04:29:45.5068119Z","steady_4vu","backend","10924","0.127","54.43","63.809","12"
"2026-08-17T04:29:45.5068119Z","steady_4vu","k6","24636","0.253","35.688","62.695","15"
"2026-08-17T04:29:47.5592432Z","steady_4vu","backend","10924","0.063","54.43","63.809","12"
"2026-08-17T04:29:47.5592432Z","steady_4vu","k6","24636","0.127","35.688","62.695","15"
"2026-08-17T04:29:49.6072656Z","steady_4vu","backend","10924","0.127","54.43","63.809","12"
"2026-08-17T04:29:49.6072656Z","steady_4vu","k6","24636","0.064","35.688","62.695","15"
"2026-08-17T04:29:51.6574205Z","steady_4vu","backend","10924","0.064","54.434","63.809","12"
"2026-08-17T04:29:51.6574205Z","steady_4vu","k6","24636","0.064","35.391","62.383","15"
"2026-08-17T04:29:53.7160520Z","steady_4vu","backend","10924","0.253","54.234","63.207","12"
"2026-08-17T04:29:53.7160520Z","steady_4vu","k6","24636","0","35.391","62.383","15"
"2026-08-17T04:29:55.7818349Z","steady_4vu","backend","10924","0.126","54.234","63.207","12"
"2026-08-17T04:29:55.7818349Z","steady_4vu","k6","24636","0.189","35.395","62.383","15"
"2026-08-17T04:29:57.8464163Z","steady_4vu","backend","10924","0.063","54.234","63.207","12"
"2026-08-17T04:29:57.8464163Z","steady_4vu","k6","24636","0","35.395","62.383","15"
"2026-08-17T04:29:59.8970796Z","steady_4vu","backend","10924","0.254","54.234","63.207","12"
"2026-08-17T04:29:59.8970796Z","steady_4vu","k6","24636","0.127","35.398","62.383","15"
"2026-08-17T04:30:01.9610480Z","steady_4vu","backend","10924","0.126","54.234","63.207","12"
"2026-08-17T04:30:01.9610480Z","steady_4vu","k6","24636","0.063","35.398","62.383","15"
"2026-08-17T04:30:04.0197255Z","steady_4vu","backend","10924","0.19","54.234","63.207","12"
"2026-08-17T04:30:04.0197255Z","steady_4vu","k6","24636","0.063","35.398","62.383","15"
"2026-08-17T04:30:06.0775751Z","steady_4vu","backend","10924","0.19","54.234","63.207","12"
"2026-08-17T04:30:06.0775751Z","steady_4vu","k6","24636","0","35.402","62.383","15"
"2026-08-17T04:30:08.1415951Z","steady_4vu","backend","10924","0.126","54.234","63.207","12"
"2026-08-17T04:30:08.1415951Z","steady_4vu","k6","24636","0.126","35.402","62.383","15"
"2026-08-17T04:30:10.1934256Z","steady_4vu","backend","10924","0.254","54.473","63.781","12"
"2026-08-17T04:30:10.1934256Z","steady_4vu","k6","24636","0","35.406","62.383","15"
"2026-08-17T04:30:12.2515513Z","steady_4vu","backend","10924","0","54.473","63.781","12"
"2026-08-17T04:30:12.2515513Z","steady_4vu","k6","24636","0.127","35.406","62.383","15"
"2026-08-17T04:30:14.3069510Z","steady_4vu","backend","10924","0.063","54.473","63.781","12"
"2026-08-17T04:30:14.3069510Z","steady_4vu","k6","24636","0","35.41","62.383","15"
"2026-08-17T04:30:16.3686644Z","steady_4vu","backend","10924","0.063","54.473","63.781","12"
"2026-08-17T04:30:16.3686644Z","steady_4vu","k6","24636","0","35.41","62.383","15"
"2026-08-17T04:30:18.4144069Z","steady_4vu","backend","10924","0.255","54.176","63.137","12"
"2026-08-17T04:30:18.4144069Z","steady_4vu","k6","24636","0.127","35.41","62.383","15"
"2026-08-17T04:30:20.4638126Z","steady_4vu","backend","10924","0.064","54.176","63.137","12"
"2026-08-17T04:30:20.4638126Z","steady_4vu","k6","24636","0.127","35.41","62.383","15"
"2026-08-17T04:30:22.5146820Z","steady_4vu","backend","10924","0.063","54.176","63.137","12"
"2026-08-17T04:30:22.5146820Z","steady_4vu","k6","24636","0.127","35.41","62.383","15"
"2026-08-17T04:30:24.5718482Z","steady_4vu","backend","10924","0.19","54.363","63.375","12"
"2026-08-17T04:30:24.5718482Z","steady_4vu","k6","24636","0.063","35.414","62.383","15"
"2026-08-17T04:30:26.6280135Z","steady_4vu","backend","10924","0.127","54.363","63.375","12"
"2026-08-17T04:30:26.6280135Z","steady_4vu","k6","24636","0","35.422","62.383","15"
"2026-08-17T04:30:28.6737759Z","steady_4vu","backend","10924","0","54.363","63.375","12"
"2026-08-17T04:30:28.6737759Z","steady_4vu","k6","24636","0.064","35.426","62.383","15"
"2026-08-17T04:30:30.7262964Z","steady_4vu","backend","10924","0.127","54.363","63.375","12"
"2026-08-17T04:30:30.7262964Z","steady_4vu","k6","24636","0.063","35.426","62.383","15"
"2026-08-17T04:30:32.7622814Z","steady_4vu","backend","10924","0.192","54.395","63.398","12"
"2026-08-17T04:30:32.7622814Z","steady_4vu","k6","24636","0","35.426","62.383","15"
"2026-08-17T04:30:34.8096279Z","steady_4vu","backend","10924","0.127","54.395","63.398","12"
"2026-08-17T04:30:34.8096279Z","steady_4vu","k6","24636","0.318","35.426","62.383","15"
"2026-08-17T04:30:36.8453848Z","steady_4vu","backend","10924","0","54.395","63.398","12"
"2026-08-17T04:30:36.8453848Z","steady_4vu","k6","24636","0.128","35.426","62.383","15"
"2026-08-17T04:30:38.8864278Z","steady_4vu","backend","10924","0.191","54.594","64.18","12"
"2026-08-17T04:30:38.8864278Z","steady_4vu","k6","24636","0.191","35.516","62.398","15"
"2026-08-17T04:30:40.9294942Z","steady_4vu","backend","10924","0.064","54.449","63.438","12"
"2026-08-17T04:30:40.9294942Z","steady_4vu","k6","24636","0.064","35.516","62.398","15"
"2026-08-17T04:30:42.9779267Z","steady_4vu","backend","10924","0","54.449","63.438","12"
"2026-08-17T04:30:42.9779267Z","steady_4vu","k6","24636","0.064","35.52","62.398","15"
"2026-08-17T04:30:45.0154865Z","steady_4vu","backend","10924","0.32","54.598","63.871","12"
"2026-08-17T04:30:45.0154865Z","steady_4vu","k6","24636","0.128","35.52","62.398","15"
"2026-08-17T04:30:47.0575603Z","steady_4vu","backend","10924","0.064","54.598","63.871","12"
"2026-08-17T04:30:47.0575603Z","steady_4vu","k6","24636","0.128","35.52","62.398","15"
"2026-08-17T04:30:49.1095204Z","steady_4vu","backend","10924","0.063","54.598","63.871","12"
"2026-08-17T04:30:49.1095204Z","steady_4vu","k6","24636","0.317","35.52","62.398","15"
"2026-08-17T04:30:51.1559087Z","steady_4vu","backend","10924","0.127","54.598","63.871","12"
"2026-08-17T04:30:51.1559087Z","steady_4vu","k6","24636","0.064","35.52","62.398","15"
"2026-08-17T04:30:53.2020653Z","steady_4vu","backend","10924","0.064","54.598","63.871","12"
