metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
spike_warmup_4_http_failure_rate,1786976410,0.000000,,,,,,,,,spike,,,,,,test_phase=official_spike&target_vus=4&step=read_profile&spike_phase=warmup_4,
spike_warmup_4_latency_read_profile_ms,1786976410,5.911200,,,,,,,,,spike,,,,,,test_phase=official_spike&target_vus=4&step=read_profile&spike_phase=warmup_4,
spike_warmup_4_requests_read_profile,1786976410,1.000000,,,,,,,,,spike,,,,,,test_phase=official_spike&target_vus=4&step=read_profile&spike_phase=warmup_4,
checks,1786976410,1.000000,profile status is 200,,,,,,,,spike,,,,,,spike_phase=warmup_4&test_phase=official_spike&target_vus=4&step=read_profile,
spike_warmup_4_checks,1786976410,1.000000,,,,,,,,,spike,,,,,,test_phase=official_spike&target_vus=4&step=read_profile&spike_phase=warmup_4,
checks,1786976410,1.000000,profile email matches registration,,,,,,,,spike,,,,,,step=read_profile&spike_phase=warmup_4&test_phase=official_spike&target_vus=4,
spike_warmup_4_checks,1786976410,1.000000,,,,,,,,,spike,,,,,,test_phase=official_spike&target_vus=4&step=read_profile&spike_phase=warmup_4,
checks,1786976410,1.000000,profile user id matches registration,,,,,,,,spike,,,,,,target_vus=4&step=read_profile&spike_phase=warmup_4&test_phase=official_spike,
spike_warmup_4_checks,1786976410,1.000000,,,,,,,,,spike,,,,,,test_phase=official_spike&target_vus=4&step=read_profile&spike_phase=warmup_4,
http_reqs,1786976410,1.000000,,,,true,,POST,http://localhost:3000/api/login,HTTP/1.1,spike,,200,,,http://localhost:3000/api/login,spike_phase=warmup_4&test_phase=official_spike&target_vus=4&step=login,
http_req_duration,1786976410,5.516000,,,,true,,POST,http://localhost:3000/api/login,HTTP/1.1,spike,,200,,,http://localhost:3000/api/login,test_phase=official_spike&target_vus=4&step=login&spike_phase=warmup_4,
http_req_blocked,1786976410,0.000000,,,,true,,POST,http://localhost:3000/api/login,HTTP/1.1,spike,,200,,,http://localhost:3000/api/login,spike_phase=warmup_4&target_vus=4&test_phase=official_spike&step=login,
http_req_connecting,1786976410,0.000000,,,,true,,POST,http://localhost:3000/api/login,HTTP/1.1,spike,,200,,,http://localhost:3000/api/login,test_phase=official_spike&target_vus=4&step=login&spike_phase=warmup_4,
http_req_tls_handshaking,1786976410,0.000000,,,,true,,POST,http://localhost:3000/api/login,HTTP/1.1,spike,,200,,,http://localhost:3000/api/login,step=login&spike_phase=warmup_4&test_phase=official_spike&target_vus=4,
http_req_sending,1786976410,0.000000,,,,true,,POST,http://localhost:3000/api/login,HTTP/1.1,spike,,200,,,http://localhost:3000/api/login,step=login&spike_phase=warmup_4&test_phase=official_spike&target_vus=4,
http_req_waiting,1786976410,4.517500,,,,true,,POST,http://localhost:3000/api/login,HTTP/1.1,spike,,200,,,http://localhost:3000/api/login,target_vus=4&spike_phase=warmup_4&test_phase=official_spike&step=login,
