"timestamp_utc","spike_phase","target_vus","actual_vus_live","actual_vus_live_source","cpu_percent","committed_memory_percent","disk_bytes_per_second","network_bytes_per_second"
"2026-08-17T14:22:31.5172370Z","recovery_steady_4","4","4","k6_progress","17.159","85.435","567122.649","745.37"
"2026-08-17T14:22:32.8137142Z","recovery_steady_4","4","4","k6_progress","11.834","85.431","522599.594","65.723"
"2026-08-17T14:22:34.1049271Z","recovery_steady_4","4","4","k6_progress","18.891","85.478","421751.814","119.082"
"2026-08-17T14:22:35.4097192Z","recovery_steady_4","4","4","k6_progress","12.609","85.472","160795.139","317.006"
"2026-08-17T14:22:36.7231031Z","recovery_steady_4","4","4","k6_progress","13.362","85.479","264780.564","27089.539"
"2026-08-17T14:22:38.0316574Z","recovery_steady_4","4","4","k6_progress","12.016","85.48","165517.704","120.73"
"2026-08-17T14:22:39.3201355Z","recovery_steady_4","4","4","k6_progress","18.743","85.484","345764.861","120.345"
"2026-08-17T14:22:40.6107466Z","recovery_steady_4","4","4","k6_progress","26.084","85.591","250345.481","11044.829"
"2026-08-17T14:22:41.9057217Z","recovery_steady_4","4","4","k6_progress","18.127","85.647","2026103.023","120.278"
"2026-08-17T14:22:43.2119076Z","recovery_steady_4","4","4","k6_progress","19.068","85.591","1056483.985","120.152"
"2026-08-17T14:22:44.5052425Z","recovery_steady_4","4","4","k6_progress","15.52","85.558","309849.67","993.793"
"2026-08-17T14:22:45.8008598Z","recovery_steady_4","4","4","k6_progress","28.264","85.576","174868.994","241.675"
"2026-08-17T14:22:47.0907704Z","recovery_steady_4","4","4","k6_progress","16.707","85.63","313228.188","24760.949"
"2026-08-17T14:22:48.3865145Z","recovery_steady_4","4","4","k6_progress","10.375","85.607","222137.269","164.67"
"2026-08-17T14:22:49.6819814Z","recovery_steady_4","4","4","k6_progress","17.839","85.603","254958.112","119.551"
"2026-08-17T14:22:50.9820249Z","recovery_steady_4","4","4","k6_progress","15.569","85.613","73201.542","924.352"
"2026-08-17T14:22:52.2777218Z","recovery_steady_4","4","4","k6_progress","20.28","85.572","73018.046","1007.207"
"2026-08-17T14:22:53.5696534Z","recovery_steady_4","4","4","k6_progress","23.732","85.603","20345.373","240.409"
"2026-08-17T14:22:54.8640642Z","recovery_steady_4","4","4","k6_progress","15.309","85.594","69178.184","54.642"
"2026-08-17T14:22:56.1583809Z","recovery_steady_4","4","4","k6_progress","14.552","85.585","492107.959","676.18"
"2026-08-17T14:22:57.4514968Z","recovery_steady_4","4","4","k6_progress","22.043","85.598","373512.223","36420.296"
"2026-08-17T14:22:58.7475493Z","recovery_steady_4","4","4","k6_progress","12.501","85.594","528505.355","662.302"
"2026-08-17T14:23:00.0456429Z","recovery_steady_4","4","4","k6_progress","17.879","85.611","141010.041","175.624"
"2026-08-17T14:23:01.3434647Z","recovery_steady_4","4","4","k6_progress","19.881","85.625","359748.469","939.174"
"2026-08-17T14:23:02.6327931Z","recovery_steady_4","4","4","k6_progress","13.635","85.612","203649.235","185.552"
"2026-08-17T14:23:03.9291877Z","recovery_steady_4","4","4","k6_progress","13.795","85.659","580147.905","341.524"
"2026-08-17T14:23:05.2227687Z","recovery_steady_4","4","4","k6_progress","16.458","85.646","242069.22","119.682"
"2026-08-17T14:23:06.5164834Z","recovery_steady_4","4","4","k6_progress","12.811","85.651","186090.539","514.402"
"2026-08-17T14:23:07.8109521Z","recovery_steady_4","4","4","k6_progress","10.933","85.629","245204.977","24588.295"
"2026-08-17T14:23:09.1053774Z","recovery_steady_4","4","4","k6_progress","15.442","85.632","164037.227","268.806"
"2026-08-17T14:23:10.3965561Z","recovery_steady_4","4","4","k6_progress","16.154","85.632","305378.628","54.765"
"2026-08-17T14:23:11.6884622Z","recovery_steady_4","4","4","k6_progress","13.801","85.638","953113.917","904.493"
"2026-08-17T14:23:12.9809530Z","recovery_steady_4","4","4","k6_progress","11.232","85.635","184815.513","4326.655"
"2026-08-17T14:23:14.2717618Z","recovery_steady_4","4","4","k6_progress","20.244","85.597","351943.605","413.028"
"2026-08-17T14:23:15.5629934Z","final_rampdown_4_to_0","0","4","k6_progress","14.301","85.58","73135.776","240.056"
"2026-08-17T14:23:16.8580494Z","final_rampdown_4_to_0","0","4","k6_progress","15.552","85.588","68792.62","441.612"
"2026-08-17T14:23:18.1541848Z","final_rampdown_4_to_0","0","4","k6_progress","21.14","85.544","12201.181","30326.211"
"2026-08-17T14:23:19.4499792Z","final_rampdown_4_to_0","0","4","k6_progress","13.739","85.544","206963.232","10198.757"
"2026-08-17T14:23:20.7449882Z","final_rampdown_4_to_0","0","4","k6_progress","18.527","85.531","16271.051","352.553"
"2026-08-17T14:23:22.0383681Z","final_rampdown_4_to_0","0","4","k6_progress","17.808","85.533","116806.972","151.428"
"2026-08-17T14:23:23.3308592Z","final_rampdown_4_to_0","0","4","k6_progress","17.919","85.509","285695.177","54.415"
"2026-08-17T14:23:24.6240861Z","final_rampdown_4_to_0","0","4","k6_progress","9.969","85.501","257902.999","377.788"
"2026-08-17T14:23:25.9172559Z","final_rampdown_4_to_0","0","4","k6_progress","9.035","85.502","233120.006","174.207"
"2026-08-17T14:23:27.2137598Z","final_rampdown_4_to_0","0","4","k6_progress","16.509","85.506","214082.199","4640.939"
"2026-08-17T14:23:28.5069660Z","final_rampdown_4_to_0","0","4","k6_progress","31.037","85.496","255010.8","119.103"
"2026-08-17T14:23:29.8013298Z","final_rampdown_4_to_0","0","4","k6_progress","21.076","85.535","403448.668","1620.462"
